id,name
genre_0,pop
genre_1,Folk Pop
genre_2,Soul
genre_3,Blue Eyed Soul
genre_4,r&b
genre_5,Funk
genre_6,Hip Hop
genre_7,Trap
genre_8,Cloud Rap
genre_9,Rap Rock
genre_10,Funk Pop
genre_11,Nhạc Dance Điện Tử
genre_12,Electro House
genre_13,Progressive House
genre_14,Nhạc Trap
genre_15,Future Bass
genre_16,Pop Rockpoprock
genre_17,Pop Rock
genre_18,Blues Rock
genre_19,Acoustic Rock
genre_20,Alternative Rock
genre_21,Anti-folk
genre_22,Rock
genre_23,Blues
genre_24,Folk
genre_25,Hard Rock
genre_26,Heavy Metal
genre_27,Mandopop
genre_28,J-pop
genre_29,Electropop
genre_30,Miranda Cosgrove
genre_31,Allmusic
genre_32,Delta Blues
genre_33,Đồng Quê
genre_34,Rock And Roll
genre_35,Gospel
genre_36,Rockabilly
genre_37,Barbershop Music
genre_38,Traditional Pop
genre_39,Doo Wop
genre_40,Art Rock
genre_41,Power Pop
genre_42,Nhạc Đại Chúng
genre_43,Schlager Music
genre_44,Theatre Music
genre_45,Nhạc Nền Phim
genre_46,Dance
genre_47,Salsa
genre_48,Freestyle
genre_49,Kellman
genre_50,Andy
genre_51,Artist Biography
genre_52,New Jack Swing
genre_53,Dance-rock
genre_54,Dance Pop
genre_55,Country Pop
genre_56,Nhạc Pop Latinh
genre_57,Hip Pop
genre_58,Trào Phúng
genre_59,Hài Kịch
genre_60,Khoa Học
genre_61,K-pop
genre_62,Ballad
genre_63,Indie Rock
genre_64,Matt
genre_65,Collar
genre_66,Jon Bellion Allmusic
genre_67,May 12
genre_68,Big Band
genre_69,Country
genre_70,Easy Listening
genre_71,Swing
genre_72,Vocal Jazz
genre_73,Soft Rock
genre_74,Folk Rock
genre_75,Adult Contemporary
genre_76,Observational Comedy
genre_77,Musical Comedy
genre_78,Sketch Comedy
genre_79,Surreal Humor
genre_80,Sarcasm
genre_81,Satire
genre_82,Urban Pop
genre_83,Nhạc Dân Gian
genre_84,Pop Truyền Thống
genre_85,Jazz
genre_86,Thanh Nhạc
genre_87,Disco
genre_88,Rock Đồng Quê
genre_89,Indie Folk
genre_90,Baroque Pop
genre_91,Indie Pop
genre_92,Psychedelic Folk
genre_93,Electronica
genre_94,The Irish Times
genre_95,Murphy
genre_96,Teen Pop
genre_97,New Wave
genre_98,Electronic-pop
genre_99,Memphis Blues
genre_100,Electric Blues
genre_101,Soul Blues
genre_102,Jazz Blues
genre_103,Nhạc Điện Tử
genre_104,Alternative Dance
genre_105,Alternative Hip Hop
genre_106,World
genre_107,Grime
genre_108,Indietronica
genre_109,Cabaret
genre_110,Music Hall
