id,title
album_0,''Let's Get Loud''
album_1,''[[HIStory on Film
album_2,''[[The Mark
album_3,A Fever You Can't Sweat Out
album_4,A Rush of Blood to the Head
album_5,A Star Is Born
album_6,Acoustic Hearts of Winter
album_7,All I Ever Wanted
album_8,All Things Bright and Beautiful
album_9,America's Got Talent
album_10,Baby One More Time
album_11,Back to Basics
album_12,Back to Basics: Live and Down Under
album_13,Big Eyes
album_14,Blackout
album_15,Blonde on Blonde
album_16,Born This Way
album_17,Breakaway
album_18,Bridge to Terabithia
album_19,Britney Spears
album_20,Christina Aguilera
album_21,Christopher
album_22,Chromatica
album_23,College Road Trip
album_24,Como Ama una Mujer
album_25,Confessions on a Dance Floor
album_26,Crazy Tour
album_27,Dangerous
album_28,Daydream
album_29,Devotion
album_30,Do Not Open
album_31,Emergency
album_32,Evolution
album_33,Fearless
album_34,Femme Fatale
album_35,Femme Fatale Tour
album_36,Folklore
album_37,Girl Who Got Away
album_38,Good Morning America
album_39,HIStory in the Mix
album_40,Humphrey
album_41,I Love You
album_42,In the Zone
album_43,Insomniatic
album_44,Invention World Tour
album_45,Invincible
album_46,It's About Time
album_47,Just Be Free
album_48,Kaleidoscope Heart
album_49,Katy Hudson
album_50,King of Pop
album_51,Last Action Hero
album_52,Liberation
album_53,Life for Rent
album_54,Like a Virgin
album_55,Live with Regis and Kelly
album_56,LoveSounds
album_57,MTV Cribs
album_58,Memoirs of an Imperfect Angel
album_59,Merry Christmas
album_60,Merry Christmas II You
album_61,Mi Reflejo
album_62,Midnights
album_63,Miles from Memphis
album_64,My Everything
album_65,My Kind of Christmas
album_66,My Prerogative
album_67,My Way
album_68,Number Ones
album_69,Obsessed
album_70,Ocean Eyes
album_71,Off the Wall
album_72,Once Upon Another Time
album_73,One of the Boys
album_74,Oops!... I Did It Again
album_75,Part of Me
album_76,Patience
album_77,Pipes of Peace
album_78,Pure McCartney
album_79,Raising Helen
album_80,Rascal Flatts
album_81,Rated R
album_82,Robert Clyde
album_83,Roman Reloaded
album_84,Rubber Soul
album_85,Safe Trip Home
album_86,Sasha Fierce
album_87,Speak Now
album_88,Special Victims Unit
album_89,Stars Dance
album_90,Stripped
album_91,Stronger
album_92,Symphonica
album_93,Taylor Swift
album_94,Teenage Dream
album_95,Thank You
album_96,The Best of Britney Spears
album_97,The Best of George Michael
album_98,The Best of Whitney Houston
album_99,The Beyoncé Experience Live
album_100,The Emancipation of Mimi
album_101,The Eminem Show
album_102,The Essential Michael Jackson
album_103,The Fabulous Baker Boys
album_104,The Fame Monster
album_105,The Force Behind the Power
album_106,The Greatest Hits
album_107,The Long Pond Studio Sessions
album_108,The Megan Mullally Show
album_109,The Midsummer Station
album_110,The Paul McCartney Collection
album_111,The Ultimate Collection
album_112,The Velvet Rope
album_113,Thriller
album_114,Thriller 25
album_115,Tom and Travis Show (The Enema Strikes Back!)]]''
album_116,Total Request Live
album_117,True Blue
album_118,Twenty Five
album_119,Unorthodox Jukebox
album_120,Viva La Vida or Death and All His Friends
album_121,Volume II]]''
album_122,Way Back
album_123,When the Sun Goes Down
album_124,Witness World Wide
album_125,World Tour
album_126,World on Fire
album_127,Yours Truly
album_128,"tuyển tập của Carey, như #1's"
album_129,"tuyển tập của hai nghệ sĩ, như All the Best!"
