id,name,genres,instruments,active_years,url
artist_0,Taylor Swift,,,,https://vi.wikipedia.org/wiki/Taylor_Swift
artist_1,Ed Sheeran,pop; folk pop; Https://www.rollingstone.com/music/news/drakes-more-life-playlist-is-redefining-pop-borders-w472780; Drake's 'more Life' Playlist Is Redefining Borders Of Blackness In pop; 20 Tháng 3 Năm 2017; Rolling Stone; 2018-01-15; 2018-06-14; Dead; Https://www.rollingstone.com/music/albumreviews/review-ed-sheerans-divide-w470271,Hát; Guitar,2004–nay,https://vi.wikipedia.org/wiki/Ed_Sheeran
artist_2,Adele,Soul; pop; blue eyed soul; R&B; Http://entertainment.timesonline.co.uk/tol/arts_and_entertainment/music/article5597699.ece; Blue-eyed Soul: Encyclopedia Of Modern Music; 1 February 2009; The Sunday Times; 16 June 2011; Dan,Hát; Guitar; Trống; Bass,2006–nay,https://vi.wikipedia.org/wiki/Adele
artist_3,Bruno Mars,R&B; Funk; pop; Soul,Hát; Guitar; Piano; Keyboard; Trống,2004–nay,https://vi.wikipedia.org/wiki/Bruno_Mars
artist_4,Justin Bieber,,,2007–nay,https://vi.wikipedia.org/wiki/Justin_Bieber
artist_5,Ariana Grande,,,,https://vi.wikipedia.org/wiki/Ariana_Grande
artist_6,Billie Eilish,,,2015–nay,https://vi.wikipedia.org/wiki/Billie_Eilish
artist_7,Dua Lipa,,,2015–hiện tại,https://vi.wikipedia.org/wiki/Dua_Lipa
artist_8,Harry Styles,,,2010–nay,https://vi.wikipedia.org/wiki/Harry_Styles
artist_9,The Weeknd,,,,https://vi.wikipedia.org/wiki/The_Weeknd
artist_10,Shawn Mendes,,,2013–nay,https://vi.wikipedia.org/wiki/Shawn_Mendes
artist_11,Camila Cabello,,,2012–nay,https://vi.wikipedia.org/wiki/Camila_Cabello
artist_12,Post Malone,hip hop; R&B; Trap; Cloud Rap; Rap Rock; Https://pitchfork.com/features/overtones/the-unlikely-resurgence-of-rap-rock/; The Unlikely Resurgence Of Rap Rock - Pitchfork; Pitchfork.com; Ngày 20 Tháng 12 Năm 2017,Giọng Hát; Guitar,2015–nay,https://vi.wikipedia.org/wiki/Post_Malone
artist_13,Lewis Capaldi,,,,https://vi.wikipedia.org/wiki/Lewis_Capaldi
artist_14,Sam Smith,,,,https://vi.wikipedia.org/wiki/Sam_Smith
