id,name,ceremony,category,year
award_award_award_9,MTV - Best Pop Video (2015),MTV,Best Pop Video,2015
award_award_award_7,Grammy - Song of the Year (2015),Grammy,Song of the Year,2015
award_award_award_5,Grammy - Best Pop Vocal Album (2015),Grammy,Best Pop Vocal Album,2015
award_award_award_2,Grammy - Album of the Year (2015),Grammy,Album of the Year,2015
award_award_award_4,Grammy - Best Pop Solo Performance (2015),Grammy,Best Pop Solo Performance,2015
award_award_award_8,MTV - General (2014),MTV,General,2014
award_award_award_1,Brit - General (2014),Brit,General,2014
award_award_award_6,Grammy - Record of the Year (2015),Grammy,Record of the Year,2015
award_award_award_3,Grammy - Best New Artist (2015),Grammy,Best New Artist,2015
award_award_award_0,AMA - General (2014),AMA,General,2014
