id,name,url,classification_confidence
band_0,The Chainsmokers,https://vi.wikipedia.org/wiki/The_Chainsmokers,0.722
band_1,Maroon 5,https://vi.wikipedia.org/wiki/Maroon_5,0.762
band_2,The Chordettes,https://vi.wikipedia.org/wiki/The_Chordettes,0.882
band_3,Boyz II Men,https://vi.wikipedia.org/wiki/Boyz_II_Men,0.737
band_4,DNCE,https://vi.wikipedia.org/wiki/DNCE,0.867
band_5,Girlicious,https://vi.wikipedia.org/wiki/Girlicious,0.833
band_6,The Jackson 5,https://vi.wikipedia.org/wiki/The_Jackson_5,0.75
band_7,New Kids on the Block,https://vi.wikipedia.org/wiki/New_Kids_on_the_Block,0.786
band_8,Sonny & Cher,https://vi.wikipedia.org/wiki/Sonny_%26_Cher,0.632
band_9,Destiny's Child,https://vi.wikipedia.org/wiki/Destiny%27s_Child,0.812
band_10,The Velvet Underground,,0.654
band_11,Chiến tranh giữa các vì sao: Tập I – Hiểm họa bóng ma,https://vi.wikipedia.org/wiki/Chi%E1%BA%BFn_tranh_gi%E1%BB%AFa_c%C3%A1c_v%C3%AC_sao:_T%E1%BA%ADp_I_%E2%80%93_Hi%E1%BB%83m_h%E1%BB%8Da_b%C3%B3ng_ma,0.5
band_12,Earth (ban nhạc Mỹ),,0.846
band_13,Pts.OF.Athrty,https://vi.wikipedia.org/wiki/Pts.OF.Athrty,0.857
band_14,The National,,0.824
band_15,One Thing,https://vi.wikipedia.org/wiki/One_Thing,0.6
band_16,The One That Got Away,https://vi.wikipedia.org/wiki/The_One_That_Got_Away,0.6
band_17,Wings (ban nhạc),https://vi.wikipedia.org/wiki/Wings_(ban_nh%E1%BA%A1c),0.619
band_18,Fergalicious,https://vi.wikipedia.org/wiki/Fergalicious,0.5
band_19,Absent Elk,https://vi.wikipedia.org/wiki/Absent_Elk,0.667
band_20,Weekend Nachos,,0.818
band_21,Vampire Weekend,https://vi.wikipedia.org/wiki/Vampire_Weekend,0.824
band_22,Mall (phim),https://vi.wikipedia.org/wiki/Mall_(phim),0.8
band_23,From the Fires,https://vi.wikipedia.org/wiki/From_the_Fires,0.5
band_24,Guns N' Roses,https://vi.wikipedia.org/wiki/Guns_N%27_Roses,0.7
band_25,X&Y,https://vi.wikipedia.org/wiki/X%26Y,0.625
band_26,Take That,https://vi.wikipedia.org/wiki/Take_That,0.5
band_27,How Can You Mend a Broken Heart,https://vi.wikipedia.org/wiki/How_Can_You_Mend_a_Broken_Heart,0.75
band_28,Pallbearer (ban nhạc),,0.8
band_29,Nizlopi,,0.8
band_30,The Scientist,https://vi.wikipedia.org/wiki/The_Scientist,0.818
band_31,Carrie & Lowell,,0.5
band_32,Discordance Axis,,0.818
band_33,The Smeezingtons,https://vi.wikipedia.org/wiki/The_Smeezingtons,0.714
band_34,The Temptations,https://vi.wikipedia.org/wiki/The_Temptations,0.771
band_35,Million Dollar Quartet,https://vi.wikipedia.org/wiki/Million_Dollar_Quartet,0.7
band_36,Deafheaven,https://vi.wikipedia.org/wiki/Deafheaven,0.833
band_37,The Midsummer Station,https://vi.wikipedia.org/wiki/The_Midsummer_Station,0.8
band_38,Spiritualized,,0.889
band_39,Odds & Ends,https://vi.wikipedia.org/wiki/Odds_%26_Ends,0.625
band_40,The Catalyst,https://vi.wikipedia.org/wiki/The_Catalyst,0.75
band_41,808s & Heartbreak,https://vi.wikipedia.org/wiki/808s_%26_Heartbreak,0.75
band_42,Vi sitter i Ventrilo och spelar DotA,https://vi.wikipedia.org/wiki/Vi_sitter_i_Ventrilo_och_spelar_DotA,0.5
band_43,Lily Allen and Friends,https://vi.wikipedia.org/wiki/Lily_Allen_and_Friends,0.857
band_44,The Killers,,0.75
band_45,Audioslave,,0.714
band_46,Brighter Than the Sun,https://vi.wikipedia.org/wiki/Brighter_Than_the_Sun,0.571
band_47,The Onyx Hotel Tour,https://vi.wikipedia.org/wiki/The_Onyx_Hotel_Tour,0.5
band_48,4th Time Around,https://vi.wikipedia.org/wiki/4th_Time_Around,0.5
band_49,"Que Sera, Sera (Whatever Will Be, Will Be)","https://vi.wikipedia.org/wiki/Que_Sera,_Sera_(Whatever_Will_Be,_Will_Be)",0.5
band_50,The Prismatic World Tour Live,https://vi.wikipedia.org/wiki/The_Prismatic_World_Tour_Live,0.5
band_51,Animal Collective,https://vi.wikipedia.org/wiki/Animal_Collective,0.778
band_52,War Pigs,https://vi.wikipedia.org/wiki/War_Pigs,0.5
band_53,Thirty Seconds to Mars,,0.609
band_54,Dàn nhạc Giao hưởng New York,https://vi.wikipedia.org/wiki/D%C3%A0n_nh%E1%BA%A1c_Giao_h%C6%B0%E1%BB%9Fng_New_York,0.75
band_55,Baby I Love U!,https://vi.wikipedia.org/wiki/Baby_I_Love_U!,0.5
band_56,Fun (ban nhạc),https://vi.wikipedia.org/wiki/Fun_(ban_nh%E1%BA%A1c),0.75
band_57,The Remix Suite,https://vi.wikipedia.org/wiki/The_Remix_Suite,0.6
band_58,The Christmas Song,https://vi.wikipedia.org/wiki/The_Christmas_Song,0.667
band_59,Don't Cry for Me Argentina,https://vi.wikipedia.org/wiki/Don%27t_Cry_for_Me_Argentina,0.5
band_60,Out of the Woods,https://vi.wikipedia.org/wiki/Out_of_the_Woods,0.556
band_61,Burning in the Skies,https://vi.wikipedia.org/wiki/Burning_in_the_Skies,0.556
band_62,Slowdive,https://vi.wikipedia.org/wiki/Slowdive,0.941
band_63,OneRepublic,https://vi.wikipedia.org/wiki/OneRepublic,0.812
band_64,Machine Shop co.,https://vi.wikipedia.org/wiki/Machine_Shop_co.,0.75
band_65,Tượng Michael Jackson HIStory,https://vi.wikipedia.org/wiki/T%C6%B0%E1%BB%A3ng_Michael_Jackson_HIStory,0.5
band_66,The Band,,0.69
band_67,Enema of the State,https://vi.wikipedia.org/wiki/Enema_of_the_State,0.8
band_68,In My Life,,0.75
