from,to,type,weight,shared_albums,shared_songs,status,year,track_number
artist_0,album_62,PERFORMS_ON,1.0,,,,,
artist_0,artist_561,COLLABORATES_WITH,35.0,1.0,34.0,,,
artist_0,album_87,PERFORMS_ON,1.0,,,,,
artist_0,artist_403,COLLABORATES_WITH,31.0,1.0,30.0,,,
artist_0,artist_433,COLLABORATES_WITH,31.0,1.0,30.0,,,
artist_0,artist_517,COLLABORATES_WITH,31.0,1.0,30.0,,,
artist_0,artist_538,COLLABORATES_WITH,31.0,1.0,30.0,,,
artist_0,artist_546,COLLABORATES_WITH,31.0,1.0,30.0,,,
artist_0,artist_816,COLLABORATES_WITH,31.0,1.0,30.0,,,
artist_0,artist_971,COLLABORATES_WITH,31.0,1.0,30.0,,,
artist_0,artist_1030,COLLABORATES_WITH,31.0,1.0,30.0,,,
artist_0,album_107,PERFORMS_ON,1.0,,,,,
artist_0,song_44,PERFORMS_ON,1.0,,,,,
artist_0,song_4,PERFORMS_ON,1.0,,,,,
artist_0,song_253,PERFORMS_ON,1.0,,,,,
artist_0,song_21,PERFORMS_ON,1.0,,,,,
artist_0,song_369,PERFORMS_ON,1.0,,,,,
artist_0,song_626,PERFORMS_ON,1.0,,,,,
artist_0,song_81,PERFORMS_ON,1.0,,,,,
artist_0,song_628,PERFORMS_ON,1.0,,,,,
artist_0,song_210,PERFORMS_ON,1.0,,,,,
artist_0,song_633,PERFORMS_ON,1.0,,,,,
artist_0,song_257,PERFORMS_ON,1.0,,,,,
artist_0,song_437,PERFORMS_ON,1.0,,,,,
artist_0,song_558,PERFORMS_ON,1.0,,,,,
artist_0,song_666,PERFORMS_ON,1.0,,,,,
artist_0,song_606,PERFORMS_ON,1.0,,,,,
artist_0,song_681,PERFORMS_ON,1.0,,,,,
artist_0,song_723,PERFORMS_ON,1.0,,,,,
artist_0,song_684,PERFORMS_ON,1.0,,,,,
artist_0,song_740,PERFORMS_ON,1.0,,,,,
artist_0,song_691,PERFORMS_ON,1.0,,,,,
artist_0,song_944,PERFORMS_ON,1.0,,,,,
artist_0,song_855,PERFORMS_ON,1.0,,,,,
artist_0,song_974,PERFORMS_ON,1.0,,,,,
artist_0,song_1189,PERFORMS_ON,1.0,,,,,
artist_0,song_905,PERFORMS_ON,1.0,,,,,
artist_0,song_960,PERFORMS_ON,1.0,,,,,
artist_0,song_1203,PERFORMS_ON,1.0,,,,,
artist_0,song_1282,PERFORMS_ON,1.0,,,,,
artist_0,song_1286,PERFORMS_ON,1.0,,,,,
artist_0,artist_224,COLLABORATES_WITH,1.0,0.0,1.0,,,
artist_0,song_1318,PERFORMS_ON,1.0,,,,,
artist_0,song_1206,PERFORMS_ON,1.0,,,,,
artist_0,song_1265,PERFORMS_ON,1.0,,,,,
artist_0,song_1300,PERFORMS_ON,1.0,,,,,
artist_0,song_1339,PERFORMS_ON,1.0,,,,,
artist_0,song_1453,PERFORMS_ON,1.0,,,,,
artist_0,song_1494,PERFORMS_ON,1.0,,,,,
artist_0,song_1480,PERFORMS_ON,1.0,,,,,
artist_0,song_1597,PERFORMS_ON,1.0,,,,,
artist_0,song_1537,PERFORMS_ON,1.0,,,,,
artist_0,song_1543,PERFORMS_ON,1.0,,,,,
