id,name,normalized_name,count
genre_0,pop,pop,0
genre_1,Folk Pop,Folk Pop,0
genre_2,Soul,Soul,0
genre_3,Blue Eyed Soul,Blue Eyed Soul,0
genre_4,r&b,r&b,0
genre_5,Funk,Funk,0
genre_6,Hip Hop,Hip Hop,0
genre_7,Trap,Trap,0
genre_8,Cloud Rap,Cloud Rap,0
genre_9,Rap Rock,Rap Rock,0
genre_10,Funk Pop,Funk Pop,0
genre_11,Nhạc Dance Điện Tử,Nhạc Dance Điện Tử,0
genre_12,Electro House,Electro House,0
genre_13,Progressive House,Progressive House,0
genre_14,Nhạc Trap,Nhạc Trap,0
genre_15,Future Bass,Future Bass,0
genre_16,Pop Rockpoprock,Pop Rockpoprock,0
genre_17,Pop Rock,Pop Rock,0
genre_18,Blues Rock,Blues Rock,0
genre_19,Acoustic Rock,Acoustic Rock,0
genre_20,Alternative Rock,Alternative Rock,0
genre_21,Anti-folk,Anti-folk,0
genre_22,Rock,Rock,0
genre_23,Blues,Blues,0
genre_24,Folk,Folk,0
genre_25,Hard Rock,Hard Rock,0
genre_26,Heavy Metal,Heavy Metal,0
genre_27,Mandopop,Mandopop,0
genre_28,J-pop,J-pop,0
genre_29,Electropop,Electropop,0
genre_30,Miranda Cosgrove,Miranda Cosgrove,0
genre_31,Allmusic,Allmusic,0
genre_32,Delta Blues,Delta Blues,0
genre_33,Đồng Quê,Đồng Quê,0
genre_34,Rock And Roll,Rock And Roll,0
genre_35,Gospel,Gospel,0
genre_36,Rockabilly,Rockabilly,0
genre_37,Barbershop Music,Barbershop Music,0
genre_38,Traditional Pop,Traditional Pop,0
genre_39,Doo Wop,Doo Wop,0
genre_40,Art Rock,Art Rock,0
genre_41,Power Pop,Power Pop,0
genre_42,Nhạc Đại Chúng,Nhạc Đại Chúng,0
genre_43,Schlager Music,Schlager Music,0
genre_44,Theatre Music,Theatre Music,0
genre_45,Nhạc Nền Phim,Nhạc Nền Phim,0
genre_46,Dance,Dance,0
genre_47,Salsa,Salsa,0
genre_48,Freestyle,Freestyle,0
genre_49,Kellman,Kellman,0
genre_50,Andy,Andy,0
genre_51,Artist Biography,Artist Biography,0
genre_52,New Jack Swing,New Jack Swing,0
genre_53,Dance-rock,Dance-rock,0
genre_54,Dance Pop,Dance Pop,0
genre_55,Country Pop,Country Pop,0
genre_56,Nhạc Pop Latinh,Nhạc Pop Latinh,0
genre_57,Hip Pop,Hip Pop,0
genre_58,Trào Phúng,Trào Phúng,0
genre_59,Hài Kịch,Hài Kịch,0
genre_60,Khoa Học,Khoa Học,0
genre_61,K-pop,K-pop,0
genre_62,Ballad,Ballad,0
genre_63,Indie Rock,Indie Rock,0
genre_64,Matt,Matt,0
genre_65,Collar,Collar,0
genre_66,Jon Bellion Allmusic,Jon Bellion Allmusic,0
genre_67,May 12,May 12,0
genre_68,Big Band,Big Band,0
genre_69,Country,Country,0
genre_70,Easy Listening,Easy Listening,0
genre_71,Swing,Swing,0
genre_72,Vocal Jazz,Vocal Jazz,0
genre_73,Soft Rock,Soft Rock,0
genre_74,Folk Rock,Folk Rock,0
genre_75,Adult Contemporary,Adult Contemporary,0
genre_76,Observational Comedy,Observational Comedy,0
genre_77,Musical Comedy,Musical Comedy,0
genre_78,Sketch Comedy,Sketch Comedy,0
genre_79,Surreal Humor,Surreal Humor,0
genre_80,Sarcasm,Sarcasm,0
genre_81,Satire,Satire,0
genre_82,Urban Pop,Urban Pop,0
genre_83,Nhạc Dân Gian,Nhạc Dân Gian,0
genre_84,Pop Truyền Thống,Pop Truyền Thống,0
genre_85,Jazz,Jazz,0
genre_86,Thanh Nhạc,Thanh Nhạc,0
genre_87,Disco,Disco,0
genre_88,Rock Đồng Quê,Rock Đồng Quê,0
genre_89,Indie Folk,Indie Folk,0
genre_90,Baroque Pop,Baroque Pop,0
genre_91,Indie Pop,Indie Pop,0
genre_92,Psychedelic Folk,Psychedelic Folk,0
genre_93,Electronica,Electronica,0
genre_94,The Irish Times,The Irish Times,0
genre_95,Murphy,Murphy,0
genre_96,Teen Pop,Teen Pop,0
genre_97,New Wave,New Wave,0
genre_98,Electronic-pop,Electronic-pop,0
genre_99,Memphis Blues,Memphis Blues,0
genre_100,Electric Blues,Electric Blues,0
genre_101,Soul Blues,Soul Blues,0
genre_102,Jazz Blues,Jazz Blues,0
genre_103,Nhạc Điện Tử,Nhạc Điện Tử,0
genre_104,Alternative Dance,Alternative Dance,0
genre_105,Alternative Hip Hop,Alternative Hip Hop,0
genre_106,World,World,0
genre_107,Grime,Grime,0
genre_108,Indietronica,Indietronica,0
genre_109,Cabaret,Cabaret,0
genre_110,Music Hall,Music Hall,0
genre_111,Nhạc Pop Pháp,Nhạc Pop Pháp,0
genre_112,Nhạc Jazz Pháp,Nhạc Jazz Pháp,0
genre_113,Garage Rock,Garage Rock,0
genre_114,Punk Blues,Punk Blues,0
genre_115,Instrumental Rock,Instrumental Rock,0
genre_116,Psychedelic Soul,Psychedelic Soul,0
genre_117,Noz,Noz,0
genre_118,Andrew,Andrew,0
genre_119,Npr,Npr,0
genre_120,Fennessey,Fennessey,0
genre_121,Sean,Sean,0
genre_122,Nhạc Dễ Nghe,Nhạc Dễ Nghe,0
genre_123,Jazz Hát,Jazz Hát,0
genre_124,Rhythm And Blues,Rhythm And Blues,0
genre_125,Psychedelic Rock,Psychedelic Rock,0
genre_126,Lubbock Sound,Lubbock Sound,0
genre_127,Motown,Motown,0
genre_128,Rock Trữ Tình,Rock Trữ Tình,0
genre_129,Sendra,Sendra,0
genre_130,Tim,Tim,0
genre_131,Reviews,Reviews,0
genre_132,Credits,Credits,0
genre_133,Awards,Awards,0
genre_134,R&b/pop/soul,R&b/pop/soul,0
genre_135,Alternative Metal,Alternative Metal,0
genre_136,Nu Metal,Nu Metal,0
genre_137,Electronic Rock,Electronic Rock,0
genre_138,Post-grunge,Post-grunge,0
genre_139,Alternative R&B,Alternative R&B,0
genre_140,Victoria Monét Songs,Victoria Monét Songs,0
genre_141,Albums,Albums,0
genre_142,Bio & More,Bio & More,0
genre_143,Piano Rock,Piano Rock,0
genre_144,Phúc Âm,Phúc Âm,0
genre_145,Popnhạc Đồng Quêhip Hop,Popnhạc Đồng Quêhip Hop,0
genre_146,Hardcore Punk,Hardcore Punk,0
genre_147,Imagine Dragons,Imagine Dragons,0
genre_148,Sputnikmusic,Sputnikmusic,0
genre_149,Funk Rock,Funk Rock,0
genre_150,Progressive Rock,Progressive Rock,0
genre_151,Beat,Beat,0
genre_152,Classical Crossover,Classical Crossover,0
genre_153,Smooth Soul,Smooth Soul,0
genre_154,Heartland Rock,Heartland Rock,0
genre_155,Roots Rock,Roots Rock,0
genre_156,Kim Wilde &#124,Kim Wilde &#124,0
genre_157,Biography,Biography,0
genre_158,Pbr&b,Pbr&b,0
genre_159,Acapella,Acapella,0
genre_160,Alternative,Alternative,0
genre_161,Skiffle,Skiffle,0
genre_162,Nhạc Kitô Giáo,Nhạc Kitô Giáo,0
genre_163,Bhangra,Bhangra,0
genre_164,Electronic,Electronic,0
genre_165,Alternative Pop,Alternative Pop,0
genre_166,Future Garage,Future Garage,0
genre_167,Dubstep,Dubstep,0
genre_168,2-step,2-step,0
genre_169,Ambient,Ambient,0
genre_170,Ambient House,Ambient House,0
