from,to,type,weight
artist_1,genre_0,HAS_GENRE,1
artist_1,genre_1,HAS_GENRE,1
artist_2,genre_2,HAS_GENRE,1
artist_2,genre_0,HAS_GENRE,1
artist_2,genre_3,HAS_GENRE,1
artist_2,genre_4,HAS_GENRE,1
artist_3,genre_4,HAS_GENRE,1
artist_3,genre_5,HAS_GENRE,1
artist_3,genre_0,HAS_GENRE,1
artist_3,genre_2,HAS_GENRE,1
artist_14,genre_0,HAS_GENRE,1
artist_14,genre_6,HAS_GENRE,1
artist_14,genre_2,HAS_GENRE,1
artist_14,genre_4,HAS_GENRE,1
artist_14,genre_10,HAS_GENRE,1
artist_16,genre_11,HAS_GENRE,1
artist_16,genre_12,HAS_GENRE,1
artist_16,genre_13,HAS_GENRE,1
artist_16,genre_14,HAS_GENRE,1
artist_16,genre_15,HAS_GENRE,1
artist_17,genre_16,HAS_GENRE,1
artist_18,genre_17,HAS_GENRE,1
artist_18,genre_18,HAS_GENRE,1
artist_18,genre_19,HAS_GENRE,1
artist_18,genre_3,HAS_GENRE,1
artist_18,genre_20,HAS_GENRE,1
artist_21,genre_22,HAS_GENRE,1
artist_21,genre_23,HAS_GENRE,1
artist_21,genre_24,HAS_GENRE,1
artist_21,genre_25,HAS_GENRE,1
artist_21,genre_26,HAS_GENRE,1
artist_22,genre_27,HAS_GENRE,1
artist_22,genre_28,HAS_GENRE,1
artist_24,genre_0,HAS_GENRE,1
artist_24,genre_29,HAS_GENRE,1
artist_24,genre_30,HAS_GENRE,1
artist_24,genre_31,HAS_GENRE,1
artist_25,genre_0,HAS_GENRE,1
artist_25,genre_4,HAS_GENRE,1
artist_27,genre_37,HAS_GENRE,1
artist_27,genre_38,HAS_GENRE,1
artist_27,genre_39,HAS_GENRE,1
artist_27,genre_17,HAS_GENRE,1
artist_29,genre_22,HAS_GENRE,1
artist_29,genre_40,HAS_GENRE,1
artist_29,genre_25,HAS_GENRE,1
artist_29,genre_41,HAS_GENRE,1
artist_33,genre_4,HAS_GENRE,1
artist_33,genre_2,HAS_GENRE,1
artist_33,genre_52,HAS_GENRE,1
artist_34,genre_53,HAS_GENRE,1
artist_34,genre_54,HAS_GENRE,1
artist_34,genre_17,HAS_GENRE,1
artist_34,genre_10,HAS_GENRE,1
artist_35,genre_55,HAS_GENRE,1
artist_36,genre_0,HAS_GENRE,1
artist_36,genre_56,HAS_GENRE,1
artist_36,genre_4,HAS_GENRE,1
artist_37,genre_0,HAS_GENRE,1
artist_37,genre_54,HAS_GENRE,1
artist_41,genre_0,HAS_GENRE,1
artist_41,genre_17,HAS_GENRE,1
artist_41,genre_54,HAS_GENRE,1
artist_41,genre_29,HAS_GENRE,1
artist_41,genre_57,HAS_GENRE,1
artist_43,genre_61,HAS_GENRE,1
artist_43,genre_4,HAS_GENRE,1
artist_43,genre_62,HAS_GENRE,1
artist_46,genre_17,HAS_GENRE,1
artist_46,genre_20,HAS_GENRE,1
artist_46,genre_0,HAS_GENRE,1
artist_47,genre_68,HAS_GENRE,1
artist_47,genre_69,HAS_GENRE,1
artist_47,genre_70,HAS_GENRE,1
artist_47,genre_71,HAS_GENRE,1
artist_47,genre_38,HAS_GENRE,1
artist_47,genre_72,HAS_GENRE,1
artist_50,genre_0,HAS_GENRE,1
artist_50,genre_73,HAS_GENRE,1
artist_50,genre_74,HAS_GENRE,1
artist_50,genre_2,HAS_GENRE,1
artist_50,genre_75,HAS_GENRE,1
artist_52,genre_0,HAS_GENRE,1
artist_58,genre_0,HAS_GENRE,1
artist_58,genre_82,HAS_GENRE,1
artist_58,genre_54,HAS_GENRE,1
artist_60,genre_4,HAS_GENRE,1
artist_60,genre_0,HAS_GENRE,1
artist_63,genre_83,HAS_GENRE,1
artist_63,genre_0,HAS_GENRE,1
artist_66,genre_0,HAS_GENRE,1
artist_66,genre_4,HAS_GENRE,1
artist_66,genre_2,HAS_GENRE,1
artist_66,genre_46,HAS_GENRE,1
artist_67,genre_0,HAS_GENRE,1
artist_67,genre_84,HAS_GENRE,1
artist_67,genre_85,HAS_GENRE,1
artist_67,genre_86,HAS_GENRE,1
artist_67,genre_87,HAS_GENRE,1
artist_70,genre_36,HAS_GENRE,1
artist_70,genre_34,HAS_GENRE,1
artist_70,genre_0,HAS_GENRE,1
artist_70,genre_83,HAS_GENRE,1
artist_70,genre_88,HAS_GENRE,1
artist_70,genre_69,HAS_GENRE,1
artist_74,genre_6,HAS_GENRE,1
artist_75,genre_4,HAS_GENRE,1
artist_75,genre_2,HAS_GENRE,1
artist_75,genre_22,HAS_GENRE,1
artist_75,genre_17,HAS_GENRE,1
artist_75,genre_23,HAS_GENRE,1
artist_75,genre_75,HAS_GENRE,1
artist_76,genre_89,HAS_GENRE,1
artist_76,genre_90,HAS_GENRE,1
artist_76,genre_91,HAS_GENRE,1
artist_76,genre_92,HAS_GENRE,1
artist_76,genre_93,HAS_GENRE,1
artist_76,genre_94,HAS_GENRE,1
artist_76,genre_95,HAS_GENRE,1
artist_77,genre_0,HAS_GENRE,1
artist_77,genre_4,HAS_GENRE,1
artist_77,genre_2,HAS_GENRE,1
artist_77,genre_23,HAS_GENRE,1
artist_79,genre_17,HAS_GENRE,1
artist_79,genre_96,HAS_GENRE,1
artist_79,genre_46,HAS_GENRE,1
artist_83,genre_5,HAS_GENRE,1
artist_83,genre_4,HAS_GENRE,1
artist_83,genre_22,HAS_GENRE,1
artist_83,genre_0,HAS_GENRE,1
artist_83,genre_97,HAS_GENRE,1
artist_85,genre_0,HAS_GENRE,1
artist_85,genre_4,HAS_GENRE,1
artist_86,genre_61,HAS_GENRE,1
artist_86,genre_54,HAS_GENRE,1
artist_86,genre_98,HAS_GENRE,1
artist_86,genre_62,HAS_GENRE,1
artist_88,genre_23,HAS_GENRE,1
artist_88,genre_99,HAS_GENRE,1
artist_88,genre_100,HAS_GENRE,1
artist_88,genre_18,HAS_GENRE,1
artist_88,genre_34,HAS_GENRE,1
artist_88,genre_4,HAS_GENRE,1
artist_88,genre_2,HAS_GENRE,1
artist_88,genre_101,HAS_GENRE,1
artist_88,genre_85,HAS_GENRE,1
artist_88,genre_102,HAS_GENRE,1
artist_90,genre_103,HAS_GENRE,1
artist_90,genre_104,HAS_GENRE,1
artist_90,genre_105,HAS_GENRE,1
artist_90,genre_106,HAS_GENRE,1
artist_90,genre_107,HAS_GENRE,1
artist_90,genre_108,HAS_GENRE,1
artist_90,genre_4,HAS_GENRE,1
artist_92,genre_97,HAS_GENRE,1
artist_92,genre_2,HAS_GENRE,1
artist_92,genre_0,HAS_GENRE,1
artist_92,genre_73,HAS_GENRE,1
artist_92,genre_87,HAS_GENRE,1
artist_94,genre_0,HAS_GENRE,1
artist_94,genre_22,HAS_GENRE,1
artist_94,genre_20,HAS_GENRE,1
artist_94,genre_24,HAS_GENRE,1
artist_95,genre_4,HAS_GENRE,1
artist_95,genre_0,HAS_GENRE,1
artist_95,genre_2,HAS_GENRE,1
artist_98,genre_0,HAS_GENRE,1
artist_98,genre_4,HAS_GENRE,1
artist_98,genre_6,HAS_GENRE,1
artist_98,genre_46,HAS_GENRE,1
artist_100,genre_109,HAS_GENRE,1
artist_100,genre_110,HAS_GENRE,1
artist_100,genre_111,HAS_GENRE,1
artist_100,genre_112,HAS_GENRE,1
artist_101,genre_22,HAS_GENRE,1
artist_101,genre_20,HAS_GENRE,1
artist_101,genre_113,HAS_GENRE,1
artist_101,genre_18,HAS_GENRE,1
artist_101,genre_74,HAS_GENRE,1
artist_101,genre_23,HAS_GENRE,1
artist_101,genre_114,HAS_GENRE,1
artist_101,genre_33,HAS_GENRE,1
artist_107,genre_4,HAS_GENRE,1
artist_107,genre_2,HAS_GENRE,1
artist_107,genre_116,HAS_GENRE,1
artist_107,genre_5,HAS_GENRE,1
artist_107,genre_85,HAS_GENRE,1
artist_108,genre_117,HAS_GENRE,1
artist_108,genre_118,HAS_GENRE,1
artist_108,genre_119,HAS_GENRE,1
artist_108,genre_120,HAS_GENRE,1
artist_108,genre_121,HAS_GENRE,1
artist_109,genre_84,HAS_GENRE,1
artist_109,genre_122,HAS_GENRE,1
artist_109,genre_85,HAS_GENRE,1
artist_109,genre_71,HAS_GENRE,1
artist_109,genre_123,HAS_GENRE,1
artist_112,genre_0,HAS_GENRE,1
artist_113,genre_22,HAS_GENRE,1
artist_113,genre_34,HAS_GENRE,1
artist_113,genre_18,HAS_GENRE,1
artist_113,genre_124,HAS_GENRE,1
artist_113,genre_5,HAS_GENRE,1
artist_113,genre_125,HAS_GENRE,1
artist_113,genre_3,HAS_GENRE,1
artist_114,genre_127,HAS_GENRE,1
artist_114,genre_4,HAS_GENRE,1
