id,name,genres,instruments,labels,active_years,url
0,Taylor Swift,,,,,https://vi.wikipedia.org/wiki/Taylor_Swift
1,Ed Sheeran,pop; folk pop; Https://www.rollingstone.com/music/news/drakes-more-life-playlist-is-redefining-pop-borders-w472780; Drake's 'more Life' Playlist Is Redefining Borders Of Blackness In pop; 20 Tháng 3 Năm 2017; Rolling Stone; 2018-01-15; 2018-06-14; Dead; Https://www.rollingstone.com/music/albumreviews/review-ed-sheerans-divide-w470271,Hát; Guitar,Asylum; Atlantic; Elektra,2004–nay,https://vi.wikipedia.org/wiki/Ed_Sheeran
2,Adele,Soul; pop; blue eyed soul; R&B; Http://entertainment.timesonline.co.uk/tol/arts_and_entertainment/music/article5597699.ece; Blue-eyed Soul: Encyclopedia Of Modern Music; 1 February 2009; The Sunday Times; 16 June 2011; Dan,Hát; Guitar; Trống; Bass,Xl; Columbia,2006–nay,https://vi.wikipedia.org/wiki/Adele
3,Bruno Mars,R&B; Funk; pop; Soul,Hát; Guitar; Piano; Keyboard; Trống,Universal Motown; Atlantic; Elektra,2004–nay,https://vi.wikipedia.org/wiki/Bruno_Mars
4,Justin Bieber,,,,2007–nay,https://vi.wikipedia.org/wiki/Justin_Bieber
5,Ariana Grande,,,,,https://vi.wikipedia.org/wiki/Ariana_Grande
6,Billie Eilish,,,,2015–nay,https://vi.wikipedia.org/wiki/Billie_Eilish
7,Dua Lipa,,,,2015–hiện tại,https://vi.wikipedia.org/wiki/Dua_Lipa
8,Harry Styles,,,,2010–nay,https://vi.wikipedia.org/wiki/Harry_Styles
9,The Weeknd,,,,,https://vi.wikipedia.org/wiki/The_Weeknd
10,Shawn Mendes,,,,2013–nay,https://vi.wikipedia.org/wiki/Shawn_Mendes
11,Camila Cabello,,,,2012–nay,https://vi.wikipedia.org/wiki/Camila_Cabello
12,Post Malone,hip hop; R&B; Trap; Cloud Rap; Rap Rock; Https://pitchfork.com/features/overtones/the-unlikely-resurgence-of-rap-rock/; The Unlikely Resurgence Of Rap Rock - Pitchfork; Pitchfork.com; Ngày 20 Tháng 12 Năm 2017,Giọng Hát; Guitar,Republic,2015–nay,https://vi.wikipedia.org/wiki/Post_Malone
13,Lewis Capaldi,,,,,https://vi.wikipedia.org/wiki/Lewis_Capaldi
14,Sam Smith,,,,,https://vi.wikipedia.org/wiki/Sam_Smith
15,Lizzo,pop; hip hop; Soul; R&B; funk pop; How Lizzo Went From Underground Phenom To Rising pop Star; Washington Post; Bethonie; Butler; Ngày 24 Tháng 4 Năm 2019,Giọng Hát; Sáo,Totally Gross National Product; Bgsw; Atlantic; Nice Life,2010–nay,https://vi.wikipedia.org/wiki/Lizzo
16,Doja Cat,,,,2012–nay,https://vi.wikipedia.org/wiki/Doja_Cat
17,The Chainsmokers,Nhạc Dance Điện Tử; Electro House; Progressive House; Nhạc Trap; Future Bass,,Disruptor; Columbia Records; Sony Music Entertainment,{{start date|2012}}–nay,https://vi.wikipedia.org/wiki/The_Chainsmokers
18,Maroon 5,pop Rockpoprock,,A&m/octone,1994–2002 (với tên Kara's Flowers)<br />2002-nay (với tên Maroon 5),https://vi.wikipedia.org/wiki/Maroon_5
19,John Mayer,pop Rock; blues rock; acoustic rock; blue eyed soul; Alternative Rock,Fender Stratocastermartin Guitarsgibson Guitars,Arista; Aware; Columbia,1998-hiện tại,https://vi.wikipedia.org/wiki/John_Mayer
20,Jennette McCurdy,,,,,https://vi.wikipedia.org/wiki/Jennette_McCurdy
21,Anne Hathaway,,,,1997–nay,https://vi.wikipedia.org/wiki/Anne_Hathaway
22,Lưu Diệc Phi,Mandopop; J-pop,Giọng Hát,Sony Japan (2005–2010,,https://vi.wikipedia.org/wiki/L%C6%B0u_Di%E1%BB%87c_Phi
23,Ashlee Simpson,,,,,https://vi.wikipedia.org/wiki/Ashlee_Simpson
24,Miranda Cosgrove,"pop; Electropop; Http://www.allmusic.com/artist/miranda-cosgrove-mn0000996972/biography; Miranda Cosgrove; Allmusic; Http://www.commonsensemedia.org/music-reviews/dancing-crazy-cd-single; ""dancing Crazy"" (cd Single) By Miranda Cosgrove - Music Review ""; Commonsensemedia.org; Ngày 21 Tháng 12 Năm 2010; Ngày 6 Tháng 3 Năm 2011",Giọng Hát; Guitar,Columbia,,https://vi.wikipedia.org/wiki/Miranda_Cosgrove
25,Victoria Beckham,pop; R&B,,Virgin (1996-nay)19/telstar (2002–04,1994– đến nay,https://vi.wikipedia.org/wiki/Victoria_Beckham
26,Dev (ca sĩ),,,,2009–nay,https://vi.wikipedia.org/wiki/Dev_(ca_s%C4%A9)
27,The Chordettes,Barbershop Music; Traditional pop; Doo Wop; pop Rock,,Columbia; Cadence; London,1946–1963,https://vi.wikipedia.org/wiki/The_Chordettes
28,Roger Waters,,,,,https://vi.wikipedia.org/wiki/Roger_Waters
29,Keith Moon,Rock; Art Rock; Hard Rock; Power pop,Trống; Định Âm; Hát; Bugle; Trumpet; Tuba,,1962–1978,https://vi.wikipedia.org/wiki/Keith_Moon
30,Brenda K. Starr,R&B; pop; Dance; Salsa; Freestyle; Kellman; Andy; Artist Biography; Https://www.allmusic.com/artist/brenda-k-starr-mn0000934174/biography; Allmusic,,Mca; Epic; Parcha; Platano; Sony; Boss Entertainment,1985&ndash;nay,https://vi.wikipedia.org/wiki/Brenda_K._Starr
31,Ezra Miller,,,,2007–hiện tại,https://vi.wikipedia.org/wiki/Ezra_Miller
32,Katy Perry,,,,2001 – nay,https://vi.wikipedia.org/wiki/Katy_Perry
33,Thomas Moore,,,,,https://vi.wikipedia.org/wiki/Thomas_Moore
34,Boyz II Men,R&B; Soul; New Jack Swing,,Motown; Universal; Arista; Msm; Koch; Decca; Umg,1985–nay,https://vi.wikipedia.org/wiki/Boyz_II_Men
35,DNCE,Dance-rock; dance pop; pop Rock; funk pop,,Republic,2015–2023,https://vi.wikipedia.org/wiki/DNCE
36,Carrie Underwood,Country pop,Piano,Arista Nashville,[[2005]]-hiện tại,https://vi.wikipedia.org/wiki/Carrie_Underwood
37,Maia Reficco,pop; Nhạc pop Latinh; R&B,Thanh Nhạc,Deep Well Records,,https://vi.wikipedia.org/wiki/Maia_Reficco
