id,name
label_0,' Is Disney Headed For A Cold Spell?
label_1,10 Summers
label_2,19
label_3,1942–1973 Issues
label_4,1983–1985 Issues
label_5,1986)epic (1987&ndash
label_6,1996
label_7,1997)bmg (1995&ndash
label_8,1997)warner Bros. (1998&ndash
label_9,1997–2001
label_10,1998)edel (1999&ndash
label_11,2001)columbia (2003&ndash
label_12,2002)daylight / Epic (2003&ndash
label_13,2002–06
label_14,2011–12
label_15,2011–nay
label_16,2015–nay
label_17,2017-03-06
label_18,2018-04-10
label_19,2020-03-01
label_20,25 Tháng 3 Năm 2025
label_21,51 West
label_22,550
label_23,A Car And A Cell Phone
label_24,A&m
label_25,A&m (1968–1972
label_26,A&m/octone
label_27,Abc
label_28,Abc-paramount
label_29,Abkco
label_30,Adventures In Music
label_31,After Selena Gomez's Exit And A Thawing 'frozen
label_32,Allied Artists Music Group
label_33,Amherst
label_34,Angel (1996-1997
label_35,Animal
label_36,Apple
label_37,Apple Records
label_38,Archie Music (2017–nay
label_39,Archuleta Signed With Jive
label_40,Ariola
label_41,Arista
label_42,Arista Nashville
label_43,Ark 21
label_44,Asia Entertainment
label_45,Asthmatic Kittysounds Familyreorchard
label_46,Astralwerks
label_47,Asylum
label_48,Atco
label_49,Atco Recordsatlantic Recordsichiban Records
label_50,Atlantic
label_51,Atlantic (1972&ndash
label_52,Atlantic (2005-nay)elektra (2002–2005
label_53,Atlantic (us
label_54,Atlantic Records Ava Max
label_55,Avicii
label_56,Aware
label_57,B2m
label_58,Bang
label_59,Barclay
label_60,Beady Eye
label_61,Beautiful Mind Records
label_62,Because
label_63,Beggars Banquet
label_64,Bell
label_65,Beluga Heights/warner Bros
label_66,Beyond
label_67,Bgsw
label_68,Big Beat
label_69,Big Brother
label_70,Big Fish
label_71,Big Hit
label_72,Big Machine
label_73,Billboard
label_74,Black Butter
label_75,Blackground
label_76,Bmg
label_77,Boss Entertainment
label_78,Brother
label_79,Brother/reprise/warner Bros
label_80,Buckingham Records
label_81,Buddah
label_82,Bullet Records
label_83,Buổi Hòa Nhạc Tại Các Lễ Trao Giải ↙
label_84,Cactus Jack
label_85,Cadence
label_86,Capital
label_87,Capitol
label_88,Capitol (1964–1966
label_89,Capitol (hiện Tại) Geffen Records (cũ
label_90,Capitol (hoa Kỳ
label_91,Capitol Nashville
label_92,Capitol Records
label_93,Capitol/emi
label_94,Capricorn
label_95,Caribou
label_96,Caribou/cbs
label_97,Carlton
label_98,Carlton Music
label_99,Caroline
label_100,Casablanca
label_101,Casablanca Records
label_102,Cash Money
label_103,Catsup Plate
label_104,Cbs
label_105,Charisma
label_106,Cheeky
label_107,Cherrytree
label_108,Chi Sound
label_109,Chrysalis
label_110,Chưa Ký
label_111,Cj E&m
label_112,Colgems
label_113,Columbia
label_114,Columbia (1960–1966)atlantic (1967–1979)arista (1980–2003)aretha Records (2011–2018
label_115,Columbia (1972-1977
label_116,Columbia (2005-2006)hollywood Records (2007-2012)jonas Brothers Recording
label_117,Columbia Records
label_118,Columbia Records Và Sony Music Entertainment
label_119,Columbia Recordssony Music Entertainment
label_120,Columbia/cbs
